BRIN_NR;NAAM_INST;RAPPORTAGEMAAND;PERSOONSGEBONDENNUMMER;ACHTERNAAM;VOORVOEGSEL;ALLE_VOORNAMEN;WOONGEMEENTE;GEBOORTEDATUM;ONDERWIJSCODE;ONDERWIJSNAAM;LEERWEG;DATUM_UITSCHRIJVING;MELDING_VERZUIM_WETTELIJK;REDEN;BRIN;NAAM_INSTELLING;ONDERWIJSAANBIEDERCODE;NAAM_ONDERWIJSAANBIEDER;MELDING_VERZUIM_NIET_WETTELIJK;GEMEENTECODE;RMC_REGIO;REDEN_UITSTROOM;LOCATIECODE;ONDERWIJSLOCATIECODE;POSTCODE_ONDERWIJSLOCATIE;HUISNUMMER_ONDERWIJSLOCATIE;BRIN_VOLGNUMMER;NIVEAU;INSCHRIJVINGSVOLGNUMMER;STRAAT;HUISNUMMER;HUISLETTER;HUISNUMMER_TOEVOEGING;HUISNUMMER_AANDUIDING;ADRES_LOCATIE;POSTCODE;WOONPLAATS;VANAF_WANNEER
27GZ;ROC Mondriaan;202210;439106325;Wildschut;;Cenne;'S-GRAVENHAGE;03-10-2002;25601;Vavo Atheneum Zonder Profiel;BOL;;J;;27GZ;ROC Mondriaan;100A178;Beauty, Hair & Fashion;N;488;REGIO 28;;;100X758;2512ER;17;;Mbo4 opleidingen;1;Bachsingel;129.0;;;;;2273KA;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;817227075;Santen;;Daaliyah Ashley;'S-GRAVENHAGE;08-03-2002;25652;Logistiek teamleider;BOL;;J;;27GZ;ROC Mondriaan;100A191;School voor Autotechniek en Mobiliteit;N;1725;REGIO 28;;;100X747;2595GA;1;;Mbo4 opleidingen;2;Spinozaplantsoen;47.0;;;;;2547EW;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;377517486;Chaibou;;Talita;'S-GRAVENHAGE;23-05-2004;23217;Mbo- Verpleegkunde;EX;;J;;27GZ;ROC Mondriaan;100A184;International Hotel and Management School;N;308;REGIO 28;;;100X749;2595GA;1;;Mbo3 opleidingen;A1;Wollegras;26.0;;;;;2631WJ;DEN HOORN ZH;202210
27GZ;ROC Mondriaan;202210;639213323;Helali;;Lars Ronny Krijn;ZOETERMEER;15-07-2005;25582;Vavo Atheneum Nieuw Profiel Economie en Maatschappij;BOL;;J;;27GZ;ROC Mondriaan;100A196;School voor Zorg en Welzijn Den Haag;N;507;REGIO 36;;;100X746;2544ED;1;;HAVO/VWO bovenbouw;1;Emiratenstraat;22.0;;;;;2623MA;SCHIEDAM;202210
27GZ;ROC Mondriaan;202210;779477411;Demir;;Kimberly Elly;'S-GRAVENHAGE;08-11-2003;25362;Helpende Zorg en Welzijn;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor Orde & Veiligheid;N;571;REGIO 28;;;100X758;2493WN;4;;Mbo4 opleidingen;1;Jan ten Brinkstraat;19.0;;;;;2631NP;KATWIJK ZH;202210
27GZ;ROC Mondriaan;202210;504038358;Bruijn;;Nena;DELFT;10-01-2001;25628;Zelfstandig werkend gastheer/-vrouw;BOL;;J;;27GZ;ROC Mondriaan;100A172;School voor ICT;N;491;REGIO 28;;;111X981;2521DB;16;;Mbo4 opleidingen;2;Kuifduikerstraat;9.0;J;;;;2542CN;LEIDSCHENDAM;202210
27GZ;ROC Mondriaan;202210;146642039;Butt;;Joup Victor;HAARLEMMERMEER;30-04-2005;25253;Software developer;BOL;;J;;27GZ;ROC Mondriaan;100A174;School voor Autotechniek en Mobiliteit;N;1739;REGIO 28;;;100X756;2512ER;68;;Mbo4 opleidingen;1;Buenos Aireshof;107.0;;;;;2493BL;NOORDWIJKERHOUT;202210
27GZ;ROC Mondriaan;202210;467828543;Boer;;Johannes Adrianus;LEIDSCHENDAM-VOORBURG;12-12-2002;25748;Manager/ondernemer horeca;BOL;;J;;27GZ;ROC Mondriaan;100A179;School voor Retail en Logistiek Delft;N;1620;REGIO 28;;;100X747;2593AN;26;;Mbo4 opleidingen;1;Coolhaven;196.0;;;;;2552ZK;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;509410952;Khemai;;Naomi;KATWIJK;27-10-2005;25573;Kapper;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Economie Delft;N;1755;REGIO 28;;;111X981;2595GA;67;;Mbo2 opleidingen;2;Judith Leysterstraat;123.0;;;;;2353HV;MONSTER;202210
27GZ;ROC Mondriaan;202210;348349975;Youssef;;Asmaa;'S-GRAVENHAGE;28-08-2006;25537;Pedagogisch medewerker kinderopvang;EX;;J;;27GZ;ROC Mondriaan;100A198;VAVO Haaglanden;N;1800;REGIO 26;;;100X750;2593AN;16;;Mbo4 opleidingen;1;Kouterstraat;67.0;;;;;3151RD;Rotterdam;202210
27GZ;ROC Mondriaan;202210;154341740;Yildiz;;Tim Daniel;VOORSCHOTEN;20-08-2004;25666;Begeleider specifieke doelgroepen;BOL;;J;;27GZ;ROC Mondriaan;100A176;School voor Autotechniek en Mobiliteit;N;502;REGIO 28;;;111X981;2521DB;7;;Mbo4 opleidingen;2;Draaistraat;25.0;A;;;;2807GD;HONSELERSDIJK;202210
27GZ;ROC Mondriaan;202210;387781177;Reitsma;;Aleyna Arife;WESTLAND;01-01-2000;25762;Pedagogisch medewerker kinderopvang;BOL;;J;;27GZ;ROC Mondriaan;100A181;VAVO Haaglanden;N;488;REGIO 26;;;100X746;2544ED;6;;Mbo3 opleidingen;1;Ammunitiehaven;21.0;;;;;2542XB;WATERINGEN;202210
27GZ;ROC Mondriaan;202210;274849241;Hadiaoui;;Boudewijn Arend;'S-GRAVENHAGE;08-08-2003;25641;Aankomend medewerker grondoptreden;BBL;;J;;27GZ;ROC Mondriaan;100A178;School voor Entreeopleidingen;N;1752;REGIO 26;;;100X746;2612CA;31;;Mbo4 opleidingen;1;Sasboutstraat;384.0;;;;;2631LE;'S-GRAVENHAGE;202210
27GZ;ROC Mondriaan;202210;564747098;Doomen;;Romy Priscilla;'S-GRAVENHAGE;20-05-2002;25620;Assistent verkoop/retail;BOL;;J;;27GZ;ROC Mondriaan;100A189;School voor Zorg en Welzijn Leiden;N;1752;REGIO 27;;;100X756;2512ER;307;;Mbo4 opleidingen;2;Loevesteinlaan;442.0;;;;;1946AG;NAALDWIJK;202210
27GZ;ROC Mondriaan;202210;780199353;Noordhuizen;;Thomas;LEIDSCHENDAM-VOORBURG;26-03-2006;25215;Vavo Havo Zonder Profiel;BOL;;J;;27GZ;ROC Mondriaan;100A179;Beauty, Hair & Fashion;N;547;REGIO 41;;;100X747;2595GA;16;;Mbo4 opleidingen;1;Gabriël Metsustraat;137.0;;;;;2551JP;ZOETERMEER;202210
27GZ;ROC Mondriaan;202210;429152562;Uslu;;Tim;KAAG EN BRAASSEM;19-07-2003;25629;Vavo Havo voorexamenklas;BOL;;J;;27GZ;ROC Mondriaan;100A177;School voor Business support;N;492;REGIO 28;;;100X758;2521DB;15;;Mbo4 opleidingen;1;Kepplerstraat;383.0;;;;;2628VK;RIJSWIJK ZH;202210
27GZ;ROC Mondriaan;202210;767093564;Velde;;Mahnoor;'S-GRAVENHAGE;30-08-2004;25340;Gespecialiseerd pedagogisch medewerker;BOL;;J;;27GZ;ROC Mondriaan;100A173;School voor Horeca & Facilitaire dienstverlening;N;1657;REGIO 28;;;100X746;2332AA;43;;Mbo4 opleidingen;1;Dedemsvaartweg;126.0;;;;;2498AG;DELFT;202210
27GZ;ROC Mondriaan;202210;165232744;Graaf;Bij de;Raida;'S-GRAVENHAGE;23-02-2003;25404;Leidinggevende travel & hospitality;BBL;;J;;27GZ;ROC Mondriaan;100A196;School voor Maatschappelijke zorg en Verzorgende;N;1744;REGIO 28;;;100X746;2512ER;49;;Mbo4 opleidingen;1;Stadhoudersring;71.0;;;22;;2492NX;RIJSWIJK ZH;202210
27GZ;ROC Mondriaan;202210;760873220;Akyüz;de;Jamai Ado Jan;'S-GRAVENHAGE;15-03-2001;25535;Expert IT systems and devices;;;J;;27GZ;ROC Mondriaan;100A184;School voor Gezondheidszorg Den Haag;N;608;REGIO 28;;;100X757;2512ER;8;;Mbo4 opleidingen;1;Oosterkerkstraat;13.0;D;;;;2551NE;Haastrecht;202210
27GZ;ROC Mondriaan;202210;200322581;Sobczyk;;Thomas;'S-GRAVENHAGE;02-10-2003;25626;Pedagogisch medewerker kinderopvang;BOL;;J;;27GZ;ROC Mondriaan;100A182;School voor Zorg en Welzijn Delft;N;1688;REGIO 28;;;100X747;2512ER;6;;Mbo2 opleidingen;1;Oude Bovendijk;128.0;;;;;2526HL;'S-GRAVENHAGE;202210
